股票代码,净利润增长率,总资产周转率,总资产报酬率,无风险利率,速动比率,资产负债率,营业利润率,总市值,流动负债合计,长期负债
2,0.221,0.221,0.0545,1.5,0.48557100000000003,0.8458559999999999,0.22674899999999998,262952600663.82,1121913936785.61,168024201225.23
4,1.183406,1.183406,-0.0891,1.5,1.805236,0.477966,-0.065039,1346146244.52,167050868.44,800000.0
5,0.16116,0.16116,0.0686,1.5,0.8324090000000001,0.49404,0.35530900000000004,2836878736.56,1532922781.73,6778198.53
6,0.188318,0.188318,0.0868,1.5,0.7339760000000001,0.5282359999999999,0.4249060000000001,6992974338.28,5436698858.05,1711882435.51
8,0.24260500000000002,0.24260500000000002,0.0466,1.5,1.782461,0.29251,0.168828,10963302957.01,2771347873.62,234487000.0
9,0.411366,0.411366,0.0519,1.5,0.822524,0.649896,0.091549,9263676825.01,12857121626.16,5909075674.7
10,0.108306,0.108306,-0.2067,1.5,0.531122,0.8195049999999999,-2.0728020000000003,2672726364.38,2607383471.71,62000000.0
11,0.497121,0.497121,0.1284,1.5,1.455841,0.4259310000000001,0.27828800000000004,5135986059.17,2425060370.12,1000000.0
12,0.549039,0.549039,0.0463,1.5,0.698595,0.505634,0.050168,9583363166.94,6195246306.0,2845610796.0
14,0.207765,0.207765,0.1232,1.5,0.31412199999999996,0.504366,0.05341,1873841187.23,898546171.44,65000000.0
16,1.631542,1.631542,0.0302,1.5,0.721283,0.713465,0.0029100000000000003,6751164709.13,22675834245.9,573374597.41
18,0.228194,0.228194,-0.1044,1.5,0.825946,0.972347,-0.597267,3306830746.6,8935435201.44,375124332.82
19,2.8540389999999998,2.8540389999999998,0.0927,1.5,0.995997,0.329474,0.031716,8034633514.57,1485378330.77,532377993.74
23,0.754347,0.754347,0.0388,1.5,0.860217,0.781529,0.037708,1763591810.4,1812811348.77,355833.48
25,0.270602,0.270602,0.0634,1.5,1.345083,0.33710100000000004,0.22279899999999997,7343618812.34,517932798.46,38855047.91
26,0.947269,0.947269,0.0744,1.5,0.661535,0.286011,0.06775700000000001,2945194941.19,1021361120.36,4517110.0
27,0.228304,0.228304,0.0373,1.5,0.873026,0.676944,0.06469,20813580884.25,22517566553.59,33414085438.34
28,1.6820389999999998,1.6820389999999998,0.0699,1.5,1.362401,0.519335,0.03875,16724206574.01,14757972539.94,36163978.52
31,0.169174,0.169174,0.0464,1.5,0.8365360000000001,0.8490790000000001,0.202465,8851010188.48,45279699172.71,30706825615.98
34,3.257472,3.257472,0.0532,1.5,0.678673,0.851975,0.007835,8797247337.3,20325291870.06,1723817213.09
35,0.218061,0.218061,0.0494,1.5,0.402045,0.6260020000000001,0.15521300000000002,7027911399.6,4174217812.41,1146569564.26
36,0.340059,0.340059,0.1444,1.5,1.256601,0.500599,0.426275,6289597293.12,4237691192.29,1215357926.91
37,0.608933,0.608933,0.022000000000000002,1.5,1.350317,0.38412199999999996,-0.005132,2239721280.52,1142070419.33,25940000.0
39,0.645951,0.645951,0.0542,1.5,0.753146,0.670181,0.069275,31581182942.88,72452887000.0,28025639000.0
40,0.274017,0.274017,0.0596,1.5,1.3353780000000002,0.576703,0.15909,10750098080.1,13421020942.48,6114956959.14
42,0.17714000000000002,0.17714000000000002,0.0339,1.5,0.522228,0.833525,0.11592100000000001,7459405379.58,27991099896.29,8457188456.18
43,0.41148100000000004,0.41148100000000004,0.09300000000000001,1.5,0.995945,0.630899,0.18328,4988871391.68,3447467611.03,4155910050.53
46,0.025044999999999998,0.025044999999999998,0.0183,1.5,0.521112,0.865957,0.041613,24266257063.52,111516610564.9,70789702053.49
49,2.098307,2.098307,0.0946,1.5,0.807055,0.743297,0.039288,5886390405.84,6312977747.63,238274631.51
50,0.644705,0.644705,0.0391,1.5,0.6015550000000001,0.566855,0.034019,20092087130.31,18974669411.64,12006327629.05
55,0.333476,0.333476,0.3339,1.5,1.1485969999999999,0.512594,0.97418,4169546567.51,3210369333.82,1193978153.39
56,0.069216,0.069216,0.0334,1.5,1.2877459999999998,0.561924,0.144671,4912412146.0,2183928735.03,3731949292.0
58,0.22743899999999997,0.22743899999999997,0.0253,1.5,0.8087810000000001,0.656307,0.142454,6468825050.55,2965296543.17,1536002107.9
59,1.156676,1.156676,0.057999999999999996,1.5,1.293009,0.5769340000000001,0.037594999999999996,9500688669.78,9628691722.26,8949386699.37
60,1.040434,1.040434,0.0795,1.5,0.775169,0.45059099999999996,0.066368,14135953894.92,6389425442.83,751566579.16
61,0.12166300000000001,0.12166300000000001,0.027000000000000003,1.5,0.436389,0.653134,0.116585,8230276035.35,7435041586.45,2379097211.8
62,1.250805,1.250805,0.1231,1.5,1.091108,0.500546,0.083897,12017137454.84,4111627036.96,878700000.0
63,0.625753,0.625753,-0.0517,1.5,0.777857,0.7451840000000001,-0.007156,82134441404.37,87209184000.0,2366568000.0
65,0.8712610000000001,0.8712610000000001,0.0565,1.5,1.44082,0.597413,0.079946,5909801548.8,5841129924.46,978415146.58
66,0.641555,0.641555,0.0874,1.5,1.042785,0.5844060000000001,0.132648,13917424754.4,7170723239.76,1778966058.35
68,0.065915,0.065915,-0.0312,1.5,0.658903,0.7280949999999999,-0.6577689999999999,4278353722.0,1704327795.22,792638578.91
69,0.188192,0.188192,0.0682,1.5,0.5110239999999999,0.737692,0.31255700000000003,52095916985.25,144999120466.84,70587747335.27
70,0.8366459999999999,0.8366459999999999,0.0632,1.5,0.918755,0.634459,0.062269000000000005,4451662696.6,4274508756.86,473607186.97
78,1.066268,1.066268,0.0531,1.5,0.9695,0.82691,0.025504,7886907505.86,30586422661.02,3374439842.8
88,0.041163,0.041163,0.0553,1.5,2.243198,0.24885700000000002,1.324077,9711000000.0,487678580.94,2004327856.83
90,0.354904,0.354904,0.0454,1.5,0.457449,0.724716,0.107374,6611776153.2,16466946497.9,6478943893.62
99,0.252704,0.252704,0.0537,1.5,1.9378540000000002,0.434482,0.10862899999999999,3418237168.8,873756936.35,1315353229.28
100,0.642161,0.642161,0.0335,1.5,0.766405,0.6842159999999999,0.036099,33196638842.15,78835404000.0,49924453000.0
150,0.277329,0.277329,0.0424,1.5,0.628341,0.695233,0.074883,9234632161.71,4326691653.33,1150226753.97
151,0.589063,0.589063,0.024,1.5,0.911669,0.5363439999999999,0.08161900000000001,3030835200.0,1152173838.47,5047577.8
155,0.609672,0.609672,0.0598,1.5,2.779819,0.475944,0.057286000000000004,4572000000.0,1261992252.94,2172423714.13
157,0.324979,0.324979,0.044000000000000004,1.5,1.534715,0.585172,0.090644,27798390413.48,39628374058.49,13933784161.35
158,0.717074,0.717074,0.0398,1.5,0.975693,0.5692189999999999,0.022356,8628007296.42,6420687959.47,1342214716.54
159,0.190589,0.190589,0.0321,1.5,1.360965,0.218467,0.133266,2030407820.68,550476728.76,20766944.66
301,1.4031209999999998,1.4031209999999998,0.0989,1.5,0.630255,0.407513,0.059786,21998630592.12,7523043170.02,623460354.02
333,1.0146959999999998,1.0146959999999998,0.0936,1.5,1.0881889999999999,0.649397,0.09845,244267958369.18,130231088000.0,32180329000.0
338,0.8065329999999999,0.8065329999999999,0.0706,1.5,0.986619,0.696705,0.085421,61578736881.2,88616964777.39,33068951844.32
400,0.549867,0.549867,0.0245,1.5,1.697725,0.426969,0.037536,8964029777.01,6197460242.11,6069400.0
401,0.598841,0.598841,0.091,1.5,0.7383270000000001,0.615594,0.11137999999999999,16682333675.32,31918460219.75,5331433375.76
402,0.161563,0.161563,0.0514,1.5,0.59688,0.749551,0.243486,19248708601.08,36793336702.2,70696173261.86
403,0.651857,0.651857,0.0934,1.5,0.543502,0.529828,0.108697,6863503942.82,667793190.49,9000000.0
407,0.8151579999999999,0.8151579999999999,0.0586,1.5,0.579699,0.574102,0.050402999999999996,3282715766.88,3050257191.1,608183333.33
409,0.56938,0.56938,0.0753,1.5,0.897632,0.551379,0.052357000000000015,2891870354.28,2242353349.8,241384921.36
410,0.239929,0.239929,0.0021,1.5,0.5184840000000001,0.992637,-0.15375,4830121278.04,18001450721.58,2096836111.88
411,2.267344,2.267344,0.052000000000000005,1.5,0.90989,0.768319,0.014925,2622167317.44,6463026658.58,414200000.0
413,0.402279,0.402279,0.0493,1.5,1.541706,0.5394720000000001,0.096685,25353318642.39,27196994221.11,11016718018.27
415,0.140873,0.140873,0.0405,1.5,1.000578,0.807246,0.06554199999999999,22264276615.2,54948314000.0,162210869000.0
417,1.0366790000000001,1.0366790000000001,0.0441,1.5,0.718623,0.5757939999999999,0.042064,3376898586.0,5597980287.34,268511784.09
420,0.384734,0.384734,0.0408,1.5,0.31448899999999996,0.591152,0.05474,3744342646.4,4090513400.01,97500000.0
421,0.313846,0.313846,0.0321,1.5,0.517841,0.697497,0.096728,2554005325.64,7538072942.86,366313589.08
422,0.45370299999999997,0.45370299999999997,0.0459,1.5,0.23092,0.918647,0.027770999999999997,2594834797.68,18664328552.14,3161408131.38
425,0.800037,0.800037,0.0396,1.5,1.312956,0.504644,0.0475,25302749028.9,27006797903.79,3818232941.9
426,0.26707,0.26707,0.0324,1.5,0.22841,0.427777,0.056369,9305132773.86,1949919957.4,1484151829.46
428,0.118112,0.118112,-0.0544,1.5,0.321416,0.658974,-0.4929439999999999,2526936480.0,2907298147.68,1705866873.72
429,0.19614700000000002,0.19614700000000002,0.1408,1.5,0.73905,0.383508,0.653221,16440439373.44,3022874546.82,3021062210.11
430,0.193864,0.193864,0.0161,1.5,0.654482,0.36453,0.083639,1959317600.24,299970336.77,394500000.0
488,0.273777,0.273777,0.0564,1.5,0.6707850000000001,0.7543489999999999,0.100642,14931672089.53,61414688571.73,13796752678.38
498,0.720156,0.720156,0.0486,1.5,0.715757,0.729136,0.059904999999999986,5667903658.78,15385232530.6,2535775572.83
501,0.865658,0.865658,0.0701,1.5,0.30135500000000004,0.639567,0.083915,7290051089.88,12514128593.36,2120445459.0
504,0.255208,0.255208,-0.0674,1.5,0.508987,0.685587,-0.36336799999999997,3885326545.47,226381876.26,1000000.0
506,0.19545099999999999,0.19545099999999999,0.0234,1.5,0.752397,0.559942,0.03457200000000001,2499057777.09,1303027143.28,40000000.0
507,0.410066,0.410066,0.0578,1.5,0.8283379999999999,0.5229060000000001,0.099452,5210970065.4,1895958743.53,1631980950.42
510,1.386412,1.386412,0.0828,1.5,0.791112,0.35625999999999997,0.052966,2394086258.22,503853433.13,2283576.23
513,0.531612,0.531612,0.0699,1.5,2.114639,0.326166,0.14383800000000002,18084113536.0,5369578000.87,700000.0
514,0.08387,0.08387,0.0141,1.5,0.632408,0.472779,0.080175,3079764022.25,2690360522.25,391000000.0
516,0.31042800000000004,0.31042800000000004,0.4628,1.5,2.436136,0.20942600000000003,1.496874,9756694044.9,956832328.04,570999597.0
517,0.211552,0.211552,0.0426,1.5,0.333547,0.8038890000000001,0.179198,7354860940.35,15980349295.85,3487759903.84
519,0.4916430000000001,0.4916430000000001,0.0394,1.5,2.392307,0.245685,0.084455,8827773740.76,2115270866.41,408139647.22
521,1.109666,1.109666,-0.0003,1.5,1.003343,0.66999,0.002809,2967658660.39,9963836490.17,6937208.0
523,2.016245,2.016245,0.0212,1.5,0.961673,0.73211,0.0032409999999999995,2478755843.75,5122104816.61,6507080.59
524,1.569148,1.569148,0.0698,1.5,1.841204,0.43223900000000004,0.041094,4624439319.3,1651908837.33,203000000.0
525,0.45802200000000004,0.45802200000000004,0.0774,1.5,0.6501600000000001,0.644885,0.13378900000000002,8148243408.19,8121494090.15,408196110.48
528,0.7555810000000001,0.7555810000000001,0.0497,1.5,1.05411,0.614775,0.05653200000000001,8879285690.32,12137796729.16,3017678933.02
529,1.2037930000000001,1.2037930000000001,0.0991,1.5,2.452644,0.256164,0.098915,2615380678.4,533265356.48,5286494.75
530,0.351463,0.351463,0.0249,1.5,1.1423940000000001,0.378905,0.059365999999999995,2487063561.08,1616820078.46,337532949.94
531,0.319848,0.319848,0.0527,1.5,0.54592,0.588476,0.097947,3466519069.2,5313195595.76,541036738.88
532,0.21572399999999997,0.21572399999999997,0.0631,1.5,0.42441999999999996,0.6367,0.18831900000000001,3402271315.8,1296846026.11,330780945.08
534,0.103129,0.103129,0.0298,1.5,0.78286,0.409483,0.12465799999999999,5134236402.24,798546278.67,143724320.79
536,0.225279,0.225279,-0.2127,1.5,0.623164,0.605061,-1.015507,5172481341.61,9403233759.52,2104737784.01
537,0.340941,0.340941,0.0452,1.5,0.149503,0.8593350000000001,0.125367,13950280192.8,50844480735.52,14424567851.21
